Country Code,Change,Description of Change,Date Issued,Source
BJ,"Change of spelling of BJ-AK, BJ-KO; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BJ.
BJ,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BJ.
BJ,Subdivisions added: BJ-AL Alibori. BJ-CO Collines. BJ-DO Donga. BJ-KO Kouffo. BJ-LI Littoral. BJ-PL Plateau.,New subdivision layout: 12 departments. Six with previous names and six with new names.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
BL,Correction of the OBP entry error as follows: deletion of “Saint-Barthélemy” in the French name field for Territory.,,2015-02-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BL.
BL,Add new entry.,,2007-09-21,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BL.
BL,Addition of new entry (in accordance with ISO 3166-1 Newsletter VI-1).,,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
BL,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of France (FR-BL)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BL.
BL,Correction to Newsletter VI-1.,,2008-04-08,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BL.
BM,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BM.
BN,Spelling change: BN-BM Brunei-Muara -> Brunei dan Muara (ms).,Change of subdivision name of BN-BM; Update List Source.,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BN.
BN,Addition of subdivision category name in Malay; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BN.
BN,Alignment of the French short name lower case with UNTERM; update of the remarks in French.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BN.
BN,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BN.
